G.F.,Time,Open,High,Low,Close,Volume
0,1716874920000,3854.50000000,3855.85000000,3854.49000000,3855.00000000,112.70790000
1,1716874980000,3855.01000000,3856.78000000,3855.00000000,3855.87000000,324.89130000
2,1716875040000,3855.86000000,3856.26000000,3854.50000000,3854.50000000,187.34310000
3,1716875100000,3854.51000000,3856.00000000,3853.00000000,3854.50000000,303.79360000
4,1716875160000,3854.50000000,3854.51000000,3852.50000000,3852.65000000,120.15620000
5,1716875220000,3852.64000000,3852.70000000,3851.50000000,3851.99000000,84.87640000
6,1716875280000,3851.99000000,3852.65000000,3851.00000000,3851.00000000,130.01510000
7,1716875340000,3851.01000000,3851.22000000,3850.50000000,3850.51000000,43.45370000
8,1716875400000,3850.51000000,3852.00000000,3850.50000000,3851.00000000,109.17700000
9,1716875460000,3851.01000000,3852.00000000,3850.00000000,3850.49000000,128.07700000
10,1716875520000,3850.49000000,3852.50000000,3850.48000000,3852.49000000,72.48500000
11,1716875580000,3852.50000000,3852.50000000,3852.00000000,3852.01000000,68.56010000
12,1716875640000,3852.00000000,3852.01000000,3851.50000000,3851.51000000,21.69780000
13,1716875700000,3851.50000000,3854.00000000,3851.50000000,3853.99000000,157.11590000
14,1716875760000,3854.00000000,3856.00000000,3853.99000000,3855.99000000,90.45400000
15,1716875820000,3856.00000000,3856.65000000,3855.00000000,3855.40000000,196.82710000
16,1716875880000,3855.40000000,3858.15000000,3855.39000000,3858.15000000,99.13080000
17,1716875940000,3858.14000000,3860.58000000,3858.14000000,3860.57000000,226.98710000
18,1716876000000,3860.58000000,3861.16000000,3857.40000000,3861.07000000,332.97600000
19,1716876060000,3861.06000000,3861.07000000,3857.61000000,3859.08000000,261.16570000
20,1716876120000,3859.08000000,3861.58000000,3859.00000000,3861.58000000,166.81130000
21,1716876180000,3861.58000000,3861.58000000,3859.43000000,3861.42000000,224.95440000
22,1716876240000,3861.41000000,3861.58000000,3860.83000000,3861.09000000,77.60650000
23,1716876300000,3861.09000000,3861.59000000,3860.16000000,3860.52000000,128.97960000
24,1716876360000,3860.53000000,3860.53000000,3858.68000000,3858.68000000,87.87220000
25,1716876420000,3858.68000000,3859.24000000,3857.84000000,3857.84000000,108.37100000
26,1716876480000,3857.84000000,3857.85000000,3856.09000000,3856.09000000,103.68760000
27,1716876540000,3856.09000000,3857.12000000,3855.42000000,3855.43000000,180.27420000
28,1716876600000,3855.42000000,3857.21000000,3854.50000000,3856.81000000,347.33740000
29,1716876660000,3856.81000000,3857.20000000,3855.59000000,3856.61000000,86.35230000
30,1716876720000,3856.60000000,3857.51000000,3855.82000000,3855.83000000,131.86220000
31,1716876780000,3855.83000000,3857.85000000,3855.50000000,3857.85000000,134.17700000
32,1716876840000,3857.84000000,3861.34000000,3857.84000000,3861.33000000,117.55680000
33,1716876900000,3861.34000000,3861.34000000,3860.20000000,3861.07000000,73.33050000
34,1716876960000,3861.08000000,3862.39000000,3860.49000000,3860.95000000,406.89440000
35,1716877020000,3860.95000000,3861.35000000,3859.70000000,3859.96000000,67.10250000
36,1716877080000,3859.96000000,3861.05000000,3859.72000000,3860.19000000,112.00000000
37,1716877140000,3860.19000000,3860.91000000,3859.30000000,3859.30000000,78.24180000
38,1716877200000,3859.31000000,3860.00000000,3857.62000000,3857.64000000,142.52600000
39,1716877260000,3857.64000000,3859.00000000,3857.64000000,3859.00000000,45.38770000
40,1716877320000,3859.00000000,3860.37000000,3857.63000000,3858.01000000,167.60730000
41,1716877380000,3858.00000000,3858.01000000,3856.95000000,3857.65000000,78.08020000
42,1716877440000,3857.64000000,3858.01000000,3857.64000000,3858.01000000,75.59190000
43,1716877500000,3858.00000000,3858.01000000,3855.00000000,3855.01000000,271.39920000
44,1716877560000,3855.01000000,3855.49000000,3854.03000000,3854.07000000,244.96350000
45,1716877620000,3854.08000000,3854.46000000,3853.50000000,3854.45000000,113.24780000
46,1716877680000,3854.45000000,3855.00000000,3850.99000000,3851.76000000,1180.09700000
47,1716877740000,3851.76000000,3852.00000000,3850.00000000,3850.46000000,471.00650000
48,1716877800000,3850.46000000,3850.77000000,3845.99000000,3848.38000000,1371.69000000
49,1716877860000,3848.39000000,3848.39000000,3847.55000000,3848.38000000,147.07330000
50,1716877920000,3848.37000000,3851.90000000,3848.00000000,3851.89000000,266.86150000
51,1716877980000,3851.89000000,3852.25000000,3850.67000000,3852.25000000,103.79710000
52,1716878040000,3852.25000000,3856.50000000,3851.92000000,3856.49000000,223.07870000
53,1716878100000,3856.50000000,3856.70000000,3855.51000000,3856.29000000,132.17780000
54,1716878160000,3856.29000000,3856.29000000,3855.00000000,3855.72000000,155.68030000
55,1716878220000,3855.73000000,3856.04000000,3855.00000000,3856.03000000,62.23860000
56,1716878280000,3856.04000000,3857.45000000,3856.03000000,3857.45000000,44.96530000
57,1716878340000,3857.45000000,3857.45000000,3854.00000000,3854.01000000,128.58760000
